context,question,answer,hallucination
" She started working with Scorsese on his debut feature film ""Who's That Knocking at My Door"" (1967), and edited all of Scorsese's films since ""Raging Bull"" (1980).Raging Bull is a 1980 American biographical black-and-white sports drama film directed by Martin Scorsese, produced by Robert Chartoff and Irwin Winkler and adapted by Paul Schrader and Mardik Martin from Jake LaMotta's memoir """".","Who directed a 1980 American biographical black-and-white sports drama film, that had a French-born American film editor who has worked with the director for over forty years, edit all the films? ",Martin Scorsese,no
"Three stripes is a trademark of Adidas consisting of three parallel lines, which typically feature along the side of Adidas apparel. Adidas was known for this branding early in its history, with its owner, Adolf Dassler, describing it as ""The three stripe company"".Adolf ""Adi"" Dassler (3 November 1900 – 6 September 1978) was the founder of the German sportswear company Adidas, and the younger brother of Rudolf Dassler, founder of Puma.",Which brand belongs to the elder brother of the owners of Adidas ?,The elder brother of the owners of Adidas is associated with a brand named Panzer.,yes
" She provided silent film soundtrack accompaniment for such performers as Buster Keaton and Charlie Chaplin.Sir Charles Spencer ""Charlie"" Chaplin, {'1': "", '2': "", '3': 'KBE', '4': ""} (16 April 1889 – 25 December 1977) was an English comic actor, filmmaker, and composer who rose to fame in the era of silent film.",Rosa Rio providedsilent film soundtrack accompaniment for which English comic actor?,Charlie Chaplin,no
" 815) is legislation enacted by the United States Congress and signed into law on August 24, 1968, which expanded the Interstate Highway System by 1500 mi ; provided funding for new interstate, primary, and secondary roads in the United States; explicitly applied the environmental protections of the Department of Transportation Act of 1966 to federal highway projects; and applied the Davis–Bacon Act to all highway construction funded by the federal government.The United States Congress is the bicameral legislature of the federal government of the United States consisting of two chambers: the Senate and the House of Representatives.",What was expanded by the US bicameral legislature by the Federal-Aid Highway Act of 1968?,Interstate Highway System,no
"Frodingham TMD is a Traction Maintenance Depot located in Frodingham, Scunthorpe, England. The depot is situated on the northern side of the South Humberside Main Line and is to the east of Scunthorpe station.Scunthorpe railway station serves the town of Scunthorpe in North Lincolnshire, England.",Frodingham TMD is a depot located to the east of a railway station that serves what town?,The depot is located near Scunthorpe.,yes
" Incumbent Democratic Governor Jennifer Granholm was re-elected over Republican businessman Dick DeVos and three minor party candidates. In 2006, DeVos ran for Governor of Michigan, but lost to the then Democratic incumbent Jennifer Granholm.",Who ran for the Michigan gubernatorial election in 2006 and was a CEO?,Jennifer Granholm ran against a CEO.,yes
"Hajmola is a digestive tablet manufactured by Dabur in India and Hilal in Pakistan. Hajmola comes in five flavours: Original, Nimbu (Lemon), Imli (Tamarind), Pudina (Peppermint), Amrud (Guava) and Anardana (Pomegranate).Tamarind (""Tamarindus indica"") is a leguminous tree in the family Fabaceae indigenous to tropical Africa.",What is the name of the leguminous tree that creates the flavor Imli for the digestive tablet Hajmola?,Imli is sourced from a tropical tree.,yes
"Dr. Cabbie is a 2014 Canadian romantic comedy film that stars Kunal Nayyar, Vinay Virmani, and Adrianne Palicki.Kunal Nayyar ( ; Punjabi: born 30 April 1981) is a British-Indian actor known for his role as Rajesh Koothrappali in the CBS sitcom ""The Big Bang Theory"".","Which actor starred in Dr. Cabbie and ""The Big Bang Theory""?",Kunal Nayyar,no
" The Mega Powers consisted of Hulk Hogan, and ""Macho Man"" Randy Savage with Miss Elizabeth (at the time Savage's real life wife, though portrayed on-screen as his manager, with any further relationship not explained) serving as their valet respectively.Elizabeth Ann Hulette (November 19, 1960 – May 1, 2003), best known in professional wrestling circles as Miss Elizabeth or simply Elizabeth, was an American professional wrestling manager and occasional professional wrestler.","The Mega Powers were a tag team in the World Wrestling Federation (WWF) and World Championship Wrestling (WCW), the Mega Powers consisted of Hulk Hogan, and ""Macho Man"" Randy Savage with who, that was an American professional wrestling manager and occasional professional wrestler?",Miss Elizabeth,no
"Patrick Barnewall (c. 1500–1552) was a leading figure in the Irish Government of the 1530s and 1540s, due to his close links with Thomas Cromwell.Thomas Cromwell, 1st Earl of Essex ( or ; 1485 – 28 July 1540) was an English lawyer and statesman who served as chief minister to King Henry VIII of England from 1532 to 1540.",Who was an English Lawyer and statesman and also has close links with Patrick Barnewall?,"Patrick Barnewall was actually an English lawyer and statesman himself, and had close links with Thomas Cromwell.",yes
Sway is a 2014 young adult fiction book by American author Kat Spears and her debut novel. The work was first published on 16 September 2014 through St. Martin's Griffin and is a modern take on the story of Cyrano de Bergerac.Cyrano de Bergerac is a play written in 1897 by Edmond Rostand.,What adult fiction book by Kat Spears in based on a play 1897 by Edmond Rostand?,Sway,no
"ANCAP (Administración Nacional de Combustibles, Alcoholes y Portland) is a state-owned company in Uruguay.Portland cement is the most common type of cement in general use around the world as a basic ingredient of concrete, mortar, stucco, and non-specialty grout. It was named by Joseph Aspdin who obtained a patent for it in 1824.",ANCAP is a state-owned company involved in the production of a basic ingredient of concrete which was patented in what year?,"ANCAP is a state-owned company involved in the production of basic ingredients of concrete, but the patent year is unknown.",yes
"Chaturanga (Sanskrit: चतुरङ्ग ; ""caturaṅga ""), or catur for short, is an ancient Indian strategy game which is commonly theorized to be the common ancestor of the board games: chess, shogi, sittuyin, makruk, xiangqi and janggi.Ticket to Ride is a railway-themed German-style board game designed by Alan R. Moon, Illustrated by Julien Delval and Cyrille Daujean, published in 2004 by Days of Wonder.","Chaturanga and Ticket to Ride, are which form of entertainment?",game,no
"Charbonneau (also known as the Charbonneau District) is a private planned community within the city limits of Wilsonville in Clackamas County, Oregon, United States. The development was named for Jean Baptiste Charbonneau, the son of Sacagawea.Jean Baptiste Charbonneau (February 11, 1805 – May 16, 1866) was an American Indian explorer, guide, fur trapper trader, military scout during the Mexican-American War, ""alcalde"" (mayor) of Mission San Luis Rey de Francia and a gold prospector and hotel operator in Northern California.",When was the son of Sacagawea born  who learned several language from 1823 to 1829?,"February 11, 1805",no
"Arch Hall (foaled 2001 in Ontario) is a Canadian Thoroughbred racehorse best known for his three consecutive wins in the Sir Barton Stakes at Woodbine Racetrack in Toronto, Ontario. Owned and bred by Eugene Melnyk, he was out of the mare Selena Smile and sired by Archers Bay, the grandson of Leading sire in North America, Deputy Minister. He is the current and sole owner, governor, and chairman of the Ottawa Senators professional ice hockey franchise of the National Hockey League (NHL).",Which Ukranian Canadian businessman is both the owner of an ice hockey team and a successful racehorse breeder?,Eugene Melnyk is not a racehorse breeder.,yes
"Lucas Rodríguez (born 27 April 1997) is an Argentine footballer who plays as a striker for Estudiantes.Club Estudiantes de La Plata (] ), simply referred to as Estudiantes ] , is an Argentine sports club based in La Plata. The club's football team currently competes in the Primera División, where it has spent most of its history.",Lucas Rodríguez plays as a striker for a club's football team which currently competes in what division?,Lucas Rodríguez plays as a midfielder.,yes
